gen,AA,AB,BB,BO,OO,AO
378,0.122156,0.148756,0.0469586,0.187934,0.192574,0.301611
379,0.119456,0.150635,0.0476586,0.187554,0.194454,0.300231
380,0.117216,0.149376,0.0468386,0.192494,0.192254,0.301811
381,0.119116,0.149276,0.0460786,0.187534,0.193794,0.304191
382,0.117336,0.149136,0.0469186,0.189814,0.192754,0.304031
383,0.119356,0.149316,0.0468986,0.188374,0.193554,0.302491
384,0.117936,0.148836,0.0451586,0.194454,0.191654,0.301951
385,0.119716,0.150575,0.0467186,0.188594,0.192574,0.301811
386,0.118616,0.149456,0.0453786,0.192494,0.193014,0.301031
387,0.118036,0.152095,0.0458586,0.192774,0.192474,0.298751
388,0.119136,0.151935,0.0449587,0.192854,0.191134,0.299971
389,0.118496,0.149296,0.0470586,0.192054,0.191074,0.302011
390,0.119236,0.151275,0.0477586,0.189314,0.193274,0.299131
391,0.120836,0.155015,0.0468786,0.186314,0.192414,0.298531
392,0.116097,0.152735,0.0471586,0.190274,0.189214,0.304511
393,0.119056,0.151095,0.0470986,0.193294,0.191174,0.298271
394,0.118396,0.150395,0.0471386,0.193174,0.191474,0.299411
395,0.119536,0.150495,0.0493785,0.190114,0.191334,0.299131
396,0.120156,0.149356,0.0489185,0.191494,0.190094,0.299971
397,0.117416,0.149676,0.0488785,0.190214,0.192914,0.300891
398,0.119996,0.150395,0.0471186,0.192774,0.191054,0.298651
399,0.117776,0.150435,0.0486385,0.193834,0.189074,0.300231
400,0.118976,0.151055,0.0479986,0.193154,0.185934,0.302871
401,0.120676,0.152495,0.0487985,0.191074,0.188574,0.298371
402,0.117776,0.150775,0.0499385,0.192374,0.191154,0.297971
403,0.116856,0.151275,0.0490585,0.196014,0.187434,0.299351
404,0.114617,0.151395,0.0481586,0.198354,0.188414,0.299051
405,0.116816,0.155695,0.0483985,0.194514,0.189494,0.295071
406,0.118236,0.152675,0.0498385,0.192914,0.190114,0.296211
407,0.117416,0.152675,0.0495985,0.194834,0.188474,0.296991
408,0.117616,0.153375,0.0499385,0.196814,0.188554,0.293691
409,0.118116,0.151675,0.0499385,0.192954,0.188614,0.298691
410,0.118036,0.153035,0.0484585,0.193274,0.187794,0.299391
411,0.116457,0.149956,0.0483585,0.195934,0.185194,0.304091
412,0.118556,0.151815,0.0489185,0.192654,0.186454,0.301591
413,0.116257,0.152055,0.0505385,0.193374,0.184534,0.303231
414,0.116756,0.154495,0.0485985,0.195314,0.188014,0.296811
415,0.117796,0.152535,0.0492985,0.193814,0.188534,0.298011
416,0.117196,0.154615,0.0496185,0.193934,0.188774,0.295851
417,0.116517,0.153615,0.0495585,0.192694,0.189154,0.298451
418,0.118036,0.155175,0.0486785,0.193434,0.187894,0.296771
419,0.119076,0.151815,0.0500985,0.191974,0.190254,0.296771
420,0.113657,0.151155,0.0513185,0.194374,0.189834,0.299651
